,index,Unnamed: 0,journalName,journalId,doi,title,pubDay,pubMonth,pubYear,codeLink,codeText,pubDate,fileName,issues_1,issues_2,issues_3
31,99,0,Scientific Data,41597,10.1038/s41597-024-03386-x,"A large-scale multivariate soccer athlete health, performance, and position monitoring dataset",30,5,2024,http://www.github.com/simula/soccermon,"We provide a sample codebase that can be used to import and structure the raw data from the  dataset, as a public software repository on GitHub: .",2024-05-30,,,,
18,46,0,Scientific Data,41597,10.1038/s41597-024-03398-7,ChineseEEG: A Chinese Linguistic Corpora EEG Dataset for Semantic Alignment and Neural Decoding,29,5,2024,https://github.com/ncclabsustech/Chinese_reading_task_eeg_processing,"The code for all modules is openly available on GitHub (). All scripts were developed in Python 3.10. Package openpyxl v3.1.2 was utilized to export segmented text in Excel (.xlsx) files, and egi-pynetstation v1.0.1, g3pylib v0.1.1, psychopy v2023.2.3 were used to implement the scripts for EGI device control, Tobii eye-tracker control, stimuli presentation respectively. In the data pre-processing scripts, MNE v1.6.0, pybv v0.7.5, pyprep v0.4.3, mne-iclabel v0.5.1 were used to implement the pre-processing pipeline, while mne-bids v0.14 was used to organize the data into BIDS format. The text embeddings were calculated using Hugging Face transformers v4.36.2. For more details about code usage, please refer to the GitHub repository.",2024-05-29,,,,
10,23,0,Scientific Data,41597,10.1038/s41597-024-03392-z,ACcoding: A graph-based dataset for online judge programming,29,5,2024,https://github.com/KarryBramley/ACcoding-Dataset,All the code is freely accessible in .,2024-05-29,,,,
30,83,0,Scientific Data,41597,10.1038/s41597-024-03353-6,An fNIRS dataset for driving risk cognition of passengers in highly automated driving scenarios,28,5,2024,https://github.com/benchidefeng/fNIRS-experiment-for-automated-driving-scenarios.git,The relational codes and example mentioned in this study and a brief description (readme.md) have been uploaded in github  Or Please contact the corresponding author with any further queries regarding code availability.,2024-05-28,,,,
9,19,0,Scientific Data,41597,10.1038/s41597-024-03304-1,A unified dataset for pre-processed climate indicators weighted by gridded economic activity,24,5,2024,https://github.com/CoMoS-SA/climaterepo,"Python code running the  dashboard and scripts for aggregating data are available at . The  leverages . We employed  to process the data, exploiting package  for the weighted aggregations.",2024-05-24,,,,
17,36,0,Scientific Data,41597,10.1038/s41597-024-03367-0,Metricizing policy texts: Comprehensive dataset on China’s Agri-policy intensity spanning 1982–2023,22,5,2024,https://github.com/YNAU-WYH/Agricultural-policy-dataset.git,The code data utilized for computations and analyses within this paper is accessible via the GitHub repository at ().,2024-05-22,,,,
12,26,0,Scientific Data,41597,10.1038/s41597-024-03364-3,A daily gap-free normalized difference vegetation index dataset from 1981 to 2023 in China,22,5,2024,https://github.com/mainearth/Daily-Gap-free-NDVI-Code.git,The Python codes for generating and processing the daily gap-free NDVI data in China can be accessed through GitHub ().,2024-05-22,,,,
4,9,0,Scientific Data,41597,10.1038/s41597-024-03330-z,"A large and diverse brain organoid dataset of 1,400 cross-laboratory images of 64 trackable brain organoids",20,5,2024,https://github.com/LabTrivedi/MOrgAna,"The code for training MOrgAna and the SegFormer is publicly available on GitHub:  and. The data splits for MOrgAna and SegFormer training and evaluation, the configuration files for SegFormer training, the CellProfiler project as well as the workflow for the Technical Validation are publicly available on GitHub and co-deposited on Zenodo.",2024-05-20,,,,
2,3,0,Scientific Data,41597,10.1038/s41597-024-03358-1,CheXmask: a large-scale dataset of anatomical segmentation masks for multi-center chest x-ray images,17,5,2024,https://github.com/ngaggion/CheXmask-Database,"The code associated with this study is available in our Github repository: . The repository encompasses Python 3 code for various components, including data preparation, data post-processing, technical validation, and the deep learning models. The data preparation section includes scripts for preprocessing the images. The data post-processing section provides scripts for converting the segmentation masks from run-length encoding to a binary mask format, examples of how to read the model and the necessary code to revert the pre-processing steps for each dataset. The technical validation section includes the code for the individual RCA analysis and the processing of the physician results. Additionally, the repository includes the code for the deep learning models used for image segmentation, including the HybridGNet model architecture, weights, training and inference scripts. The software prerequisites for running the code are outlined in the repository’s README file.",2024-05-17,,,,
19,50,0,Scientific Data,41597,10.1038/s41597-024-03371-4,Exploring SureChEMBL from a drug discovery perspective,16,5,2024,https://github.com/Fraunhofer-ITMP/patent-clinical-candidate-characteristics,The Python scripts and Jupyter notebooks supporting the conclusions of this study can be accessed and downloaded via GitHub (). The repository is structured into “Data” and “Notebook” sections. The “Data” section is the exact replica of the Zenodo dump mentioned previously. The “Notebook” section includes all the analyses presented in this study organized based on the sections within the results.,2024-05-16,client_projects/soccermon/tests/test_data_loader.py,There are no problems.,There are no problems.,"There are several problems with the provided Python script that may impact the quality and viability of its outputs:

1. **Overwriting Filenames:** Although the dictionary keys ""A"", ""B"", ""C"", and ""D"" are unique, the `record_sheets` dictionary assigns the same `test_records_df` DataFrame to all players. This indicates duplicated data, which might not be intended.

2. **Duplicating Work Unintentionally:** The `initialise_players` function is not shown, so it is unclear how the data is processed. However, each player is assigned the same DataFrame, which could lead to processing the same data multiple times needlessly.

3. **Including Entries That Should Be Excluded:** In the ""SleepDurH"" DataFrame, player ""B"" has an outlier value of 420, which seems unrealistic for sleep duration in hours. Such outliers should ideally be handled.

4. **Inconsistent Indentation in the 'test_initialise_players' Function:**
    - The indentation of the docstring is inconsistent.

5. **Inconsistent Column Names:**
    - In the wellness sheets, column names like ""Fatigue Data"", ""Mood Data"", ""Readiness Data"", ""SleepDurH Data"", ""SleepQuality Data"", ""Soreness Data"", and ""Stress Data"" are inconsistent. They should be standardized for easier processing and to avoid potential bugs.
   
6. **Redundant Assertions:**
    - The assertion `assert output[""2""].strain.equals(pd.Series(np.zeros(12), name=""Strain"",))` is duplicated.

By addressing these issues, the quality and viability of the script's outputs can be improved."
19,50,0,Scientific Data,41597,10.1038/s41597-024-03371-4,Exploring SureChEMBL from a drug discovery perspective,16,5,2024,https://github.com/Fraunhofer-ITMP/patent-clinical-candidate-characteristics,The Python scripts and Jupyter notebooks supporting the conclusions of this study can be accessed and downloaded via GitHub (). The repository is structured into “Data” and “Notebook” sections. The “Data” section is the exact replica of the Zenodo dump mentioned previously. The “Notebook” section includes all the analyses presented in this study organized based on the sections within the results.,2024-05-16,client_projects/soccermon/tests/__init__.py,There are no problems.,There are no problems.,There are no problems.
19,50,0,Scientific Data,41597,10.1038/s41597-024-03371-4,Exploring SureChEMBL from a drug discovery perspective,16,5,2024,https://github.com/Fraunhofer-ITMP/patent-clinical-candidate-characteristics,The Python scripts and Jupyter notebooks supporting the conclusions of this study can be accessed and downloaded via GitHub (). The repository is structured into “Data” and “Notebook” sections. The “Data” section is the exact replica of the Zenodo dump mentioned previously. The “Notebook” section includes all the analyses presented in this study organized based on the sections within the results.,2024-05-16,client_projects/soccermon/preprocessing/data_loader.py,"There are several issues with the provided Python script that could impact its quality and viability:

1. **Function Naming and Usage**:
   - The methods `to_injuries_to_dataframe`, `to_illness_to_dataframe`, and `to_performance_to_dataframe` in the `SoccerPlayer` class suggest they convert data to a DataFrame, but they actually return a list containing a single DataFrame. This is inconsistent and might confuse users expecting a DataFrame directly.

2. **Method Signature Mistake**:
   - The function `get_player_illness` incorrectly returns a list of `Injury` objects instead of `Illness` objects in the annotation. It should return a list of `Illness` objects.
   - The `to_dataframe` method accesses `self.injury_ts`, which is not part of the `SoccerPlayer` dataclass definition.

3. **Date Index Mismanagement**:
   - The function `get_variable_by_date` checks if `from_date` and `until_date` exist in the index using exact matches. If these dates don't exist, it raises a `DateNotInRange` exception which might be too strict. Instead, it could use a more flexible date parsing or accept the nearest valid dates.

4. **Variable Name Consistency**:
   - In the `SoccerPlayer` dataclass, `daily_load` should be `daily_load`, `srpe`, and `rpe` should be `srpe` and `rpe`, etc., to maintain consistency with the keys used in the `initialise_players` function where `sleep_duration` is used consistently, but `sleep_duration` in other occurrences is used inconsistently as well.

5. **Unnecessary Deletion**:
   - During the `initialise_players` method, deleting keys from `wellness_sheets` modifies the original dictionary that could be used elsewhere.

6. **Pandas Concatenation**:
   - The `load_in_workbooks` method concatenates DataFrames in `merged_dictionaries[sheet_name].append(sheet.iloc[:-1, :])` without verifying if rows or columns align correctly.

7. **Game Performance Creation**:
   - The `create_ts_of_injures` method assumes a binary representation of injuries, which might misrepresent the data for more complex injury scenarios.

8. **Comments and Redundant Code**:
   - Commented-out code segments are present, like `players = initialise_players`. It should be removed to keep the script clean and maintainable.

Due to these issues, the script may produce inaccurate or inconsistent results, encounter runtime errors, or fail to process data as intended. Thus, these problems need to be addressed for optimal functionality.","There are several issues with the provided Python script that could impact the quality or viability of its outputs:

1. **Exception class constructors:**
   - The `DateNotInRange` exception in particular does not use the incoming parameter `value`, which might be beneficial to include details on which date or player caused the exception.

2. **Duplicate initialization in `wellness_sheets_names` and `sheets`:**
   - The lists `wellness_sheets_names` and `sheets` contain overlapping content. This redundancy could lead to maintenance problems or bugs in future extensions.

3. **Misleading method naming in `SoccerPlayer`:**
   - The `to_injuries_to_dataframe`, `to_illness_to_dataframe`, and `to_performance_to_dataframe` method names are misleading and should be adjusted. This misdirection could lead to confusion and debugging issues.

4. **Issues with handling timestamps:**
   - The `timestamp` fields in `Illness`, `Injury`, and `Performance` are expected to be `pd.Index` but are treated inconsistently across the script. This inconsistency can cause issues in operations relying on date-time indexes.

5. **No check for non-callable variables:**
   - The `check_if_variable_callable` function does nothing if the variable passes the checks. This should ideally raise an exception or return a meaningful boolean or message when conditions are not met.

6. **Logic errors and potential infinite loops:**
   - In the `get_player_data` function, there's a possibility of attempting to access a non-existent key in `wellness_data`.

7. **Incorrect function return type:**
   - The `to_injuries_to_dataframe`, `to_illness_to_dataframe`, and `to_performance_to_dataframe` methods return lists sometimes empty, sometimes populated, which is not clearly documented to clarify expected behavior and usage.

8. **Missing data cleaning and potential NaNs:**
   - In data processing functions, there is insufficient handling of NaN values, which can propagate and result in corrupted outputs.

9. **Function `get_player_illness`:**
   - Incorrect return type stated. The function returns a list of `Illness`, but the type annotation suggests it can return `Injury`.

10. **Improper aliasing in initializing players:**
   - `name_mapping` dictionary might cause issues if duplicate or non-unique names exist. Also relies on a back-mapping that assumes bijectiveness of the mapping without validation.

11. **Index error potential in `get_variable_by_date`:**
   - It assumes `from_date` and `until_date` are always in `variable.index` without handling the case where they are not. This can cause errors or crashes.

12. **Inconsistent data extraction and potential overwrites:**
   - The handling and extraction of player injuries, illness, and performance can lead to inconsistencies, especially if the same player has multiple records across different datasets, potentially leading to data overwriting without aggregation.

13. **Missing parameters and incomplete data paths:**
   - Functions like `generate_team_data` use fixed index values (e.g., `stress` index) without considering missing data or index misalignment scenarios which can result in KeyErrors or empty DataFrames.

There are no further identified issues, hence concluding this analysis.","There are several issues in the given Python script that could impact the quality/viability of its outputs:

1. **Hardcoded Date Range in `get_variable_by_date` Method**: The `from_date` and `until_date` parameters have hardcoded default values that may not match the date format of the actual data, leading to errors.

2. **Potential KeyError in `initialise_players` function**: The code attempts to delete keys like ""Injury"", ""Illness"", and ""Game Performance"" from `wellness_sheets` without checking if they exist. If these keys are not present, a KeyError will be raised.

3. **Mismatch in Method Names**: In the `SoccerPlayer` class, methods `to_injuries_to_dataframe`, `to_illness_to_dataframe`, and `to_performance_to_dataframe` have redundancies in their names. They should be `to_injuries_dataframe`, `to_illness_dataframe`, and `to_performance_dataframe`, respectively.

4. **Incorrect Return Type for `get_player_illness` Function**: The function `get_player_illness` returns a list of `Injury` instances instead of `Illness` instances.

5. **Inconsistent Data Type Handling in `get_variables_by_date`**: The method `get_variables_by_date` in the `SoccerPlayer` class returns a DataFrame with columns extracted one by one which may lead to performance issues and incorrect data alignment if the lengths of the columns mismatch.

6. **Missing `injury_ts` Attribute Assignment**: In the `SoccerPlayer` class, the `injury_ts` attribute is assigned in `initialise_players`, but no corresponding field is declared in the `dataclass` definition, leading to an AttributeError.

7. **Potentially Incorrect `iloc` Usage**: The logic to remove the last row using `.iloc[:-1, :]` assumes that this row is always to be excluded, which might not be correct in every scenario.

8. **Potential Infinite Loop in `load_in_workbooks`**: The `for path in path_to_file` loop appends the results to the same `workbooks` list, ensuring that the list grows with each iteration. However, it's not clear why each iteration re-processes the existing paths.

9. **Unreliable Timestamp Handling**: The timestamp comparisons and the extraction of a range of values using `.index.get_loc` are risky and can result in slicing issues if the exact timestamps are not matched.

10. **Possible Merging Issues in `load_in_workbooks`**: The code concatenates DataFrame slices, potentially leading to instance-specific merging issues. If the sheet names in `wellness_sheets_names` contain subtle differences, they will be incorrectly excluded or included.

11. **Unnecessary `Union` Usage**: The return type of `get_player_injuries` and similar functions use `Union[List, List[...]`. This is redundant and should simply return `List[...]`.

In summary, there are issues related to hardcoded values, potential KeyErrors, method naming inconsistencies, incorrect assignments and return types, potential performance and slicing issues, and merging inconsistencies. These could lead to incorrect outputs, errors, or exceptions during execution."
19,50,0,Scientific Data,41597,10.1038/s41597-024-03371-4,Exploring SureChEMBL from a drug discovery perspective,16,5,2024,https://github.com/Fraunhofer-ITMP/patent-clinical-candidate-characteristics,The Python scripts and Jupyter notebooks supporting the conclusions of this study can be accessed and downloaded via GitHub (). The repository is structured into “Data” and “Notebook” sections. The “Data” section is the exact replica of the Zenodo dump mentioned previously. The “Notebook” section includes all the analyses presented in this study organized based on the sections within the results.,2024-05-16,client_projects/soccermon/preprocessing/__init__.py,there are no problems,There are no problems,There are no problems.
19,50,0,Scientific Data,41597,10.1038/s41597-024-03371-4,Exploring SureChEMBL from a drug discovery perspective,16,5,2024,https://github.com/Fraunhofer-ITMP/patent-clinical-candidate-characteristics,The Python scripts and Jupyter notebooks supporting the conclusions of this study can be accessed and downloaded via GitHub (). The repository is structured into “Data” and “Notebook” sections. The “Data” section is the exact replica of the Zenodo dump mentioned previously. The “Notebook” section includes all the analyses presented in this study organized based on the sections within the results.,2024-05-16,client_projects/soccermon/preprocessing/run_team_pickle_generation.py,There are no problems.,There are no problems.,There are no problems.
