0,0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,0.1.1.1.1.1,0.1.1.1.1.1.1,Unnamed: 0
,,,,,,,0,Unnamed: 0
,,,,,,,Scientific Data,journalName
,,,,,,,41597,journalId
,,,,,,,10.1038/s41597-023-02842-4,doi
,,,,,,,"MarFERReT, an open-source, version-controlled reference library of marine microbial eukaryote functional genes",title
,,,,,,,21,pubDay
,,,,,,,12,pubMonth
,,,,,,,2023,pubYear
,,,,,,,"['https://github.com/armbrustlab/marferret', 'https://zenodo.org/records/10278540']",codeLink
,,,,,,,"Code, documentation, and tutorials for this project are available on the MarFERReT repository: . This repository has also been archived for the v.1.1 release and the archived code is available on Zenodo here: . Information on the software versions and parameters used in this publication are included in the MarFERReT containerized build on the repository and in the archived code.",codeText
,,,,,,,2023-12-21,pubDate
,,,,,,0,,
,,,,,,Scientific Data,,
,,,,,,41597,,
,,,,,,10.1038/s41597-023-02808-6,,
,,,,,,Labelled dataset for Ultra-Low Temperature Freezer to aid dynamic modelling & fault detection and diagnostics,,
,,,,,,9,,
,,,,,,12,,
,,,,,,2023,,
,,,,,,['https://lab.compute.dtu.dk/taohu/ult-freezers-labelled-dataset-sci-data.git'],,
,,,,,,The Python code for ETL pipelines is available on the open-access GitLab at .,,
,,,,,,2023-12-09,,
,,,,,0,,,
,,,,,Scientific Data,,,
,,,,,41597,,,
,,,,,10.1038/s41597-023-02808-6,,,
,,,,,Labelled dataset for Ultra-Low Temperature Freezer to aid dynamic modelling & fault detection and diagnostics,,,
,,,,,9,,,
,,,,,12,,,
,,,,,2023,,,
,,,,,['https://lab.compute.dtu.dk/taohu/ult-freezers-labelled-dataset-sci-data.git'],,,
,,,,,The Python code for ETL pipelines is available on the open-access GitLab at .,,,
,,,,,2023-12-09,,,
,,,,,0,,,
,,,,,Scientific Data,,,
,,,,,41597,,,
,,,,,10.1038/s41597-023-02706-x,,,
,,,,,Georeferenced dataset of maritime piracy in the Gulf of Guinea from 2010 to 2021,,,
,,,,,7,,,
,,,,,12,,,
,,,,,2023,,,
,,,,,"['https://github.com/ricardomourarpm/Gulf_of_Guinea_Piracy', 'https://colab.research.google.com/', 'https://jupyter.org/install.html']",,,
,,,,,"The code used to generate the interactive visualization of the attacks shown in Fig.  is provided in the convert.py (). To run the provided code, it is possible to run it locally using Python in a Jupyter Notebook or even use the Anaconda Distribution, or you can use it directly online using, e.g., the Google Colab (). The Anaconda Distribution () is usually a good choice since it includes Python, the Jupyter Notebook, and other commonly used scientific computing and data science packages.",,,
,,,,,2023-12-07,,,
,,,,,0,,,
,,,,,Scientific Data,,,
,,,,,41597,,,
,,,,,10.1038/s41597-023-02706-x,,,
,,,,,Georeferenced dataset of maritime piracy in the Gulf of Guinea from 2010 to 2021,,,
,,,,,7,,,
,,,,,12,,,
,,,,,2023,,,
,,,,,"['https://github.com/ricardomourarpm/Gulf_of_Guinea_Piracy', 'https://colab.research.google.com/', 'https://jupyter.org/install.html']",,,
,,,,,"The code used to generate the interactive visualization of the attacks shown in Fig.  is provided in the convert.py (). To run the provided code, it is possible to run it locally using Python in a Jupyter Notebook or even use the Anaconda Distribution, or you can use it directly online using, e.g., the Google Colab (). The Anaconda Distribution () is usually a good choice since it includes Python, the Jupyter Notebook, and other commonly used scientific computing and data science packages.",,,
,,,,,2023-12-07,,,
,,,,,0,,,
,,,,,Scientific Data,,,
,,,,,41597,,,
,,,,,10.1038/s41597-023-02809-5,,,
,,,,,A dataset of proteomic changes during human heat stress and heat acclimation,,,
,,,,,7,,,
,,,,,12,,,
,,,,,2023,,,
,,,,,['https://acclimation.statgen.org/'],,,
,,,,,The source code for this dataset is publicly available through the Figshare repository. The data may also be visualized with an interactive web visualization tool:,,,
,,,,,2023-12-07,,,
,,,,,0,,,
,,,,,Scientific Data,,,
,,,,,41597,,,
,,,,,10.1038/s41597-023-02798-5,,,
,,,,,A global land cover training dataset from 1984 to 2020,,,
,,,,,7,,,
,,,,,12,,,
,,,,,2023,,,
,,,,,"['https://github.com/parevalo/measures_collector', 'https://github.com/ma-friedl/GlanceFiltering', 'https://measures-glance.github.io/glance-grids/params', 'https://glance.earthengine.app/view/fulltstools', 'https://github.com/repository-preservation/lcmap-pyccd']",,,
,,,,,"We used open-source tools to ensure transparency and reproducibility of our research, including R (4.3.0), Python 3.6.7, and Google Earth Engine. Time series tools for training data collection are available on GitHub () as is the repository for filtering training data (). Custom continental definitions can be found at this repository: . Continuous Change Detection and Classification (CCDC) tools and applications can be found on Google Earth Engine () and python ().",,,
,,,,,2023-12-07,,,
,,,,,0,,,
,,,,,Scientific Data,,,
,,,,,41597,,,
,,,,,10.1038/s41597-023-02798-5,,,
,,,,,A global land cover training dataset from 1984 to 2020,,,
,,,,,7,,,
,,,,,12,,,
,,,,,2023,,,
