,journalName,journalId,doi,title,pubDay,pubMonth,pubYear,codeLink,codeText,pubDate
0,Scientific Data,41597,10.1038/s41597-024-03158-7,Mapping Road Surface Type of Kenya Using OpenStreetMap and High-resolution Google Satellite Imagery,3,4,2024,https://github.com/Dsayddd/RoadSurface,The data files and the python scripts used for model training are available online through GitHub repository: .,2024-04-03
0,Scientific Data,41597,10.1038/s41597-024-03214-2,High spatial resolution elevation change dataset derived from ICESat-2 crossover points on the Tibetan Plateau,17,4,2024,https://github.com/snowhydro/icesat-cross-point,The script used to process the ICESat-2 data and extract ICESat-2 crossover points from it is available at the following link: .,2024-04-17
0,Scientific Data,41597,10.1038/s41597-024-03272-6,Genome-wide profiling of angiogenic -regulatory elements unravels -regulatory SNPs for vascular abnormality,8,5,2024,,No custom code was used.,2024-05-08
0,Scientific Data,41597,10.1038/s41597-024-03358-1,CheXmask: a large-scale dataset of anatomical segmentation masks for multi-center chest x-ray images,17,5,2024,https://github.com/ngaggion/CheXmask-Database,"The code associated with this study is available in our Github repository: . The repository encompasses Python 3 code for various components, including data preparation, data post-processing, technical validation, and the deep learning models. The data preparation section includes scripts for preprocessing the images. The data post-processing section provides scripts for converting the segmentation masks from run-length encoding to a binary mask format, examples of how to read the model and the necessary code to revert the pre-processing steps for each dataset. The technical validation section includes the code for the individual RCA analysis and the processing of the physician results. Additionally, the repository includes the code for the deep learning models used for image segmentation, including the HybridGNet model architecture, weights, training and inference scripts. The software prerequisites for running the code are outlined in the repository’s README file.",2024-05-17
0,Scientific Data,41597,10.1038/s41597-024-03159-6,"Globe-LFMC 2.0, an enhanced and updated dataset for live fuel moisture content research",4,4,2024,,"[{'italic': 'figshare', 'sup': {'xref': {'@ref-type': 'bibr', '@rid': 'CR15', '#text': '15'}}, '#text': 'The code for the detection of potential outliers and the extraction of land cover and meteorological data was developed using Python 3.9.7. The corresponding Jupyter Notebooks are available at the  repository.'}, {'sup': {'xref': {'@ref-type': 'bibr', '@rid': 'CR15', '#text': '15'}}, '#text': 'The outlier detection code uses the Globe-LFMC-2.0 file as input.'}, 'When executing the land cover and meteorological data extraction code, it is essential to have downloaded the required input data first.']",2024-04-04
0,Scientific Data,41597,10.1038/s41597-024-03215-1,Three  assembled wild cacao genomes from the Upper Amazon,11,4,2024,,No code was developed for implementing a software.,2024-04-11
0,Scientific Data,41597,10.1038/s41597-024-03273-5,Mapping annual 10-m soybean cropland with spatiotemporal sample migration,2,5,2024,https://github.com/ZihangLou/ChinaSoybean10,"The programs used to generate the datasets and all the results were ESRI ArcGIS (10.6), Python (3.7 or 3.8) and Google Earth Engine (GEE). The scripts utilized for ChinaSoybean10 described in this paper can be accessed at .",2024-05-02
0,Scientific Data,41597,10.1038/s41597-024-03359-0,REAL-Colon: A dataset for developing real-world AI applications in colonoscopy,25,5,2024,https://github.com/cosmoimd/real-colon-dataset; https://github.com/cosmoimd/DeepLearningExamples,"To facilitate the process of downloading and exploring the dataset, we have made available a set of useful Python codes on our GitHub repository at . These scripts facilitate easy access to the data and assist in its analysis, enabling users to reproduce all the plots presented in this paper. Code for the training and testing of the polyp detection models can be found separately at .",2024-05-25
0,Scientific Data,41597,10.1038/s41597-024-03301-4,InsectSound1000 An insect sound dataset for deep learning based acoustic insect recognition,9,5,2024,,"[{'ext-link': {'@xlink:href': 'https://github.com/Jelt0/InsectSound1000Tools', '@ext-link-type': 'uri', '#text': 'https://github.com/Jelt0/InsectSound1000Tools'}, '#text': 'The Python script used to extract the sound samples collected from the InsectSound1000 dataset from the raw, long-term recordings is available online on the InsetSound1000 GitHub page (). The script can easily be modified for extraction, e.g., samples of different lengths, different sample rates or even different thresholds for activity detection.'}, 'Furthermore, the accommodating GitHub repository contains a Jupyter Notebook to split the InsectSound1000 dataset into training, validation and test subsets while ensuring that recording dates do not overlap in the different subsets.']",2024-05-09
0,Scientific Data,41597,10.1038/s41597-024-03330-z,"A large and diverse brain organoid dataset of 1,400 cross-laboratory images of 64 trackable brain organoids",20,5,2024,https://github.com/LabTrivedi/MOrgAna,"The code for training MOrgAna and the SegFormer is publicly available on GitHub:  and. The data splits for MOrgAna and SegFormer training and evaluation, the configuration files for SegFormer training, the CellProfiler project as well as the workflow for the Technical Validation are publicly available on GitHub and co-deposited on Zenodo.",2024-05-20
0,Scientific Data,41597,10.1038/s41597-024-03160-z,"Three years of weekly DEMs, aerial orthomosaics and surveyed shoreline positions at Waikīkī Beach, Hawai‘i",29,3,2024,,There is no custom code for this project.,2024-03-29
0,Scientific Data,41597,10.1038/s41597-024-03217-z,Dataset of weekly intra-treatment diffusion weighted imaging in head and neck cancer patients treated with MR-Linac,11,5,2024,https://github.com/kwahid/Weekly_DWI_Data_Descriptor,Codes used for data annotation are available through GitHub: ().,2024-05-11
0,Scientific Data,41597,10.1038/s41597-024-03275-3,"A new commercial boundary dataset for metropolitan areas in the USA and Canada, built from open data",24,4,2024,https://github.com/schoolofcities/commercial-boundaries,"The codes used in this study are available from Figshare or the School of cities GitHub (). In addition, modified metropolitan areas, a saved Pytorch state file and commercial boundary result data can also be obtained from those pages. Readers can easily replicate the identified commercial boundary using the given codes and datasets.",2024-04-24
0,Scientific Data,41597,10.1038/s41597-024-03302-3,Parsimonious estimation of hourly surface ozone concentration across China during 2015–2020,14,5,2024,https://github.com/Wenxiu0902/Ozone_prediction,"The code is available on GitHub () primarily using Python and R languages. It includes data preprocessing, model training, testing, prediction, and visualization sections. Additionally, sample model input data is also provided.",2024-05-14
